Company_Name,Ticker,Current_Price,Market_Cap,Enterprise_Value,PER,Forward_PER,PEG_Ratio,PBV,PS_Ratio,PC_Ratio,EV_EBITDA,EV_Revenue,Gross_Margin,Operating_Margin,Net_Profit_Margin,ROA,ROE,ROIC,Revenue_Growth_YoY,Earnings_Growth_YoY,Current_Ratio,Quick_Ratio,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Dividend_Yield,Dividend_Rate,Payout_Ratio,Beta,52_Week_High,52_Week_Low,Avg_Volume,Shares_Outstanding,Float_Shares,EPS_TTM,Book_Value_Per_Share,Revenue_Per_Share,Free_Cash_Flow_Per_Share,EBITDA,Total_Revenue,Net_Income,Total_Debt,Total_Cash,Free_Cash_Flow,Operating_Cash_Flow,Sector,Industry,Detailed_Industry,analyst_target,analyst_recommendation,short_interest,institutional_ownership
PT Bank Tabungan Negara (Persero) Tbk,BBTN.JK,1390.0,19507877773312,55027850805248,5.2661,4.8928,0.6,0.5306,1.1732,,,3.309,,,16.4899,0.6634,,,0.133,0.234,,,,9.0224,,398.0,53.57,0.2029,0.439,1505.0,1055.0,33337846,14034444412,5085100244.0,263.95,2619.916,1184.881,,,16628619149312,3705423003648,51561862529024,15550701895680,,-33596804956160,Financial Services,Banks - Regional,Banking,1463.8462,buy,,0.14187
PT GoTo Gojek Tokopedia Tbk,GOTO.JK,50.0,53100509396992,34780695494656,-9.3985,-9.3985,,1.6554,2.7325,,85.336,1.79,57.723,-2.0645,-6.4712,-2.5912,,-0.8619,0.263,,2.651,2.489,27.754,16.921,-0.7236,,,0.0,0.525,87.0,50.0,4293226064,1062010200395,819967674416.0,-0.61,30.205,18.349,-0.3092,407571988480.0,19432797634560,-644382982144,7999311052800,23030281535488,-328396111872.0,1068332023808,Technology,Software - Infrastructure,Consumer Finance,82.66522,buy,,0.14973
PT Indofood Sukses Makmur Tbk,INDF.JK,7125.0,62560535576576,124141936050176,5.726,5.4807,0.43,0.8553,0.5066,,4.511,1.005,33.356,19.2012,8.652,4.9016,,10.8039,0.127,,2.132,1.62,62.456,34.3875,5.8284,415.0,280.0,0.2301,-0.025,8825.0,5900.0,21155485,8780426500,4382925496.0,1244.32,8330.727,14064.603,1219.3183,27516905455616.0,123493211439104,10684652847104,75094315499520,57308172255232,10706135023616.0,19540729659392,Consumer Defensive,Packaged Foods,Consumer Finance,8817.857,strong_buy,,0.15317
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,TLKM.JK,2940.0,291242906746880,349772338692096,13.41,11.2596,20.37,2.1237,1.9763,,5.682,2.374,67.9383,28.4629,15.7441,7.8888,,15.3423,-0.009,-0.187,0.772,0.666,50.111,25.6715,8.1756,733.0,212.47,0.969,0.072,3990.0,2530.0,111522337,99062216599,47372696337.0,219.24,1384.397,1487.6,284.0803,61553000841216.0,147364991991808,21758000234496,77677998374912,33053999104000,28141623967744.0,65249998798848,Communication Services,Telecom Services,Consumer Finance,3884.2856,buy,,0.28084
PT Astra Otoparts Tbk,AUTO.JK,2620.0,12627700875264,9537757118464,5.5982,6.329,,0.7792,0.623,,5.575,0.471,16.9099,6.3593,11.0767,9.7501,,5.5977,0.074,0.106,2.216,1.606,3.318,2.6419,33.7168,884.0,229.0,0.4103,0.096,2940.0,1940.0,3135205,4819733000,963946600.0,468.01,3362.547,4205.458,162.4775,1710693941248.0,20269185892352,2258395987968,580313022464,4808806760448,783098118144.0,1978013974528,Consumer Cyclical,Auto Parts,Consumer Goods & Retail,3291.6667,strong_buy,,0.02797
PT Cikarang Listrindo Tbk,POWR.JK,745.0,11809366999040,11650887319552,9.2939,9.1862,,16555.555,21335.965,,70268.125,21049.64,43.9876,19.7969,13.0184,6.0477,,7.7137,0.025,4.382,7.794,6.52,48.196,28.922,4.7332,949.0,69.79,0.9239,0.05,770.0,670.0,4374083,15851499100,2152158033.0,80.16,0.045,0.035,0.004,165806144.0,553495808,72056312,344594432,309290304,62835244.0,155253568,Utilities,Utilities - Independent Power Producers,Consumer Goods & Retail,867.9,none,,0.05689
PT Delta Djakarta Tbk,DLTA.JK,2000.0,1601318158336,962860089344,10.6918,,,2.1195,2.374,,4.489,1.427,69.4938,24.7709,22.2253,13.3082,,16.3274,0.16,0.408,2.865,2.537,0.876,0.5884,330.5698,860.0,172.0,0.9198,0.137,2330.0,1910.0,63605,800659050,123397573.0,187.06,943.626,842.466,217.4886,214471360512.0,674527838208,149915533312,6627923968,646020071424,174134214656.0,270349877248,Consumer Defensive,Beverages - Brewers,Consumer Goods & Retail,,none,,0.01417
PT Hanjaya Mandala Sampoerna Tbk,HMSP.JK,765.0,88983325376512,80360943648768,12.9705,11.4607,,3.1387,1.8602,,7.682,1.68,18.3803,8.2769,5.8923,12.8183,,24.0105,-0.063,0.072,1.957,0.742,1.217,0.665,333.3944,735.0,56.2,0.9525,0.635,1000.0,510.0,44020298,116318076900,8794809794.0,58.98,243.735,411.243,77.5869,10460499804160.0,47835047264256,6747364261888,370210996224,8992595116032,9024761233408.0,11009904345088,Consumer Defensive,Tobacco,Consumer Goods & Retail,873.3333,buy,,0.00156
PT Indofood CBP Sukses Makmur Tbk,ICBP.JK,7150.0,83382646079488,116887123918848,9.1194,7.8957,1.53,1.6185,1.0917,,6.86,1.53,35.2172,21.207,12.3244,6.8058,,10.3052,0.076,-0.03,4.224,3.462,62.219,34.9934,7.3727,368.0,250.0,0.3189,,11475.0,6650.0,5962616,11661908000,2270223630.0,784.04,4417.78,6550.391,534.3416,17039159721984.0,76380859531264,9142118907904,47920799809536,32759546380288,6231442325504.0,12648452194304,Consumer Defensive,Packaged Foods,Consumer Goods & Retail,10376.75,buy,,0.08178
PT Multi Bintang Indonesia Tbk,MLBI.JK,5875.0,12378625277952,11234059485184,10.1419,9.9139,,7.8034,3.4091,,6.011,3.094,63.7621,43.6224,33.4039,34.2339,,83.7397,0.132,0.179,1.051,0.859,6.596,3.0917,147.8365,923.0,542.0,0.9361,,6550.0,5000.0,256477,2107000000,225048670.0,579.28,752.881,1726.771,535.7015,1868795478016.0,3631104917504,1217522958336,104687001600,1249950040064,1128722989056.0,1553310023680,Consumer Defensive,Beverages - Brewers,Consumer Goods & Retail,8650.0,none,,0.02595
